Year,Reg,Group,Sex,DrAa0,DrAa1,DrAa5,DrAa10,DrAa15,DrAa20,DrAa25,DrAa30,DrAa35,DrAa40,DrAa45,DrAa50,DrAa55,DrAa60,DrAa65,DrAa70,DrAa75,DrAa80,DrAa85
2015,1178,U,B,5596,293,225,254,475,1172,1741,3428,3813,5813,7934,10503,14162,19996,27477,41127,60711,100925,190178
2015,1178,U,M,5685,364,257,370,572,1839,3035,5552,5943,8753,12059,17431,24032,35753,45788,65783,95955,138874,204751
2015,1178,U,F,5504,217,191,130,372,544,506,1387,1773,3110,4309,5043,7300,10369,17292,30481,48331,90428,186906
2015,1178,R,B,7527,268,174,380,975,2186,3090,3907,5184,7345,6662,10831,15574,24167,27774,39900,54324,91692,175489
2015,1178,R,M,7013,346,173,184,1675,3452,4928,6013,7879,11369,10080,17036,22793,39053,44438,58640,77922,114475,173497
2015,1178,R,F,8058,185,175,590,225,797,924,1402,2348,3182,3346,4719,8967,12529,15842,30572,44183,84445,175832
2015,1145,T,B,6201,326,185,257,581,908,1165,2043,3005,3323,4281,5982,8730,13084,18418,25316,40207,66923,122623
2015,1145,T,M,6945,301,219,261,818,1383,1788,3109,4718,4957,6269,8972,13177,20168,26733,34216,50815,69278,103225
2015,1145,T,F,5407,352,150,252,341,448,573,1048,1382,1735,2413,3360,5191,7992,12913,19809,34798,65878,129798
2015,1145,U,B,6254,326,182,258,589,902,1167,2040,3007,3301,4268,5966,8721,13060,18352,25254,40160,66885,122730
2015,1145,U,M,7009,301,218,265,829,1370,1794,3102,4718,4916,6254,8953,13179,20162,26631,34192,50692,69107,103080
2015,1145,U,F,5449,352,144,251,346,449,572,1048,1386,1732,2401,3350,5176,7960,12872,19713,34779,65895,130033
2015,1145,R,B,2812,319,395,151,0,1400,1009,2326,2870,5326,5484,7253,9377,14896,24436,31092,44090,70023,113141
2015,1145,R,M,2787,315,257,0,0,2288,1326,3704,4748,8718,7561,10553,12979,20684,35836,36718,62254,86007,121977
2015,1145,R,F,2838,324,540,313,0,287,656,1022,1008,1964,3462,4225,6401,10511,16648,28119,36298,64546,111111
2015,3100,T,B,5363,352,215,255,656,1089,1909,3258,4755,5813,7332,10085,14009,19750,25294,36375,54540,93244,164980
2015,3100,T,M,5720,377,249,277,871,1536,2798,4865,7048,8652,10986,15691,22362,32654,40412,57069,78145,117728,163100
2015,3100,T,F,4984,326,179,231,423,584,960,1605,2487,3079,4002,5380,7778,11292,16387,26250,45076,85348,165369
